Strat1,Strat2,Strat3,Bin_Min,IVAR,Bin_Max,DV0,DV,ObsName,QI,QE,ObsCat
0,0,0,0.25,0.25,0.25,0.565941,,"CObs","05%","--" 
0,0,0,0.5,0.5,0.5,0.5424345,,"CObs","05%","--" 
0,0,0,1,1,1,0.531644,,"CObs","05%","--" 
0,0,0,2,2,2,0.4480025,,"CObs","05%","--" 
0,0,0,4,4,4,0.403246,,"CObs","05%","--" 
0,0,0,6,6,6,0.329193,,"CObs","05%","--" 
0,0,0,8,8,8,0.279175,,"CObs","05%","--" 
0,0,0,12,12,12,0.202693,,"CObs","05%","--" 
0,0,0,23.9,23.9,23.9,0.1123215,,"CObs","05%","--" 
0,0,0,36,36,36,0.2975895,,"CObs","05%","--" 
0,0,0,47.9,47.9,47.9,0.1699695,,"CObs","05%","--" 
0,0,0,0.25,0.25,0.25,1.07645,,"CObs","50%","--" 
0,0,0,0.5,0.5,0.5,1.0615,,"CObs","50%","--" 
0,0,0,1,1,1,0.99841,,"CObs","50%","--" 
0,0,0,2,2,2,0.848975,,"CObs","50%","--" 
0,0,0,4,4,4,0.659885,,"CObs","50%","--" 
0,0,0,6,6,6,0.547205,,"CObs","50%","--" 
0,0,0,8,8,8,0.45034,,"CObs","50%","--" 
0,0,0,12,12,12,0.33752,,"CObs","50%","--" 
0,0,0,23.9,23.9,23.9,0.222245,,"CObs","50%","--" 
0,0,0,36,36,36,0.495375,,"CObs","50%","--" 
0,0,0,47.9,47.9,47.9,0.354825,,"CObs","50%","--" 
0,0,0,0.25,0.25,0.25,2.024105,,"CObs","95%","--" 
0,0,0,0.5,0.5,0.5,1.766205,,"CObs","95%","--" 
0,0,0,1,1,1,1.81067,,"CObs","95%","--" 
0,0,0,2,2,2,1.478365,,"CObs","95%","--" 
0,0,0,4,4,4,1.05539,,"CObs","95%","--" 
0,0,0,6,6,6,0.817977,,"CObs","95%","--" 
0,0,0,8,8,8,0.689293,,"CObs","95%","--" 
0,0,0,12,12,12,0.508019,,"CObs","95%","--" 
0,0,0,23.9,23.9,23.9,0.3649955,,"CObs","95%","--" 
0,0,0,36,36,36,0.801499,,"CObs","95%","--" 
0,0,0,47.9,47.9,47.9,0.62518,,"CObs","95%","--" 
