#Scenario,tvV,tvCl,tvV2,tvCl2,CEps
WorkFlow,10.767245,,,,
WorkFlow,0.540589,0.086994,,,
WorkFlow,-1.761175,-2.213935,96.143652,,
WorkFlow,0.149345,0.012034,-0.181363,0.049091,
WorkFlow,0.003530,0.000169,0.006458,0.000085,0.000013
